EarthPod Sensor Log
Created: Thu Jul 16 01:17:27 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Interrupt Counter (counts/time step),Wind (m/s),Airflow (m/s),Airflow Ambient Temp (C),Airflow Error
Wed Sep 16 19:39:36 2020,6.209,39.795,21.624,7188.48,96.95459375,0,0.0,0.295,46.86,0
Wed Sep 16 19:39:43 2020,6.206,39.783,22.575,7178.24,96.953632812,0,0.0,0.24,48.82,0
Wed Sep 16 19:39:50 2020,6.205,39.725,22.537,7224.32,96.954203125,0,0.0,0.39,42.84,0
Wed Sep 16 19:39:57 2020,6.211,39.773,22.172,7224.32,96.952621093,0,0.0,0.574,42.52,0
Wed Sep 16 19:40:04 2020,6.205,39.801,21.951,7237.12,96.955304687,0,0.0,0.372,43.24,0
Wed Sep 16 19:40:11 2020,6.208,39.823,21.284,7237.12,96.949816406,0,0.0,0.513,42.77,0
Wed Sep 16 19:40:19 2020,6.209,39.871,21.414,7196.16,96.953933593,0,0.0,0.236,47.94,0
Wed Sep 16 19:40:26 2020,6.205,40.009,20.954,7173.12,96.950421875,0,0.0,0.339,45.13,0
Wed Sep 16 19:40:33 2020,6.206,40.077,21.273,7170.56,96.953464843,0,0.0,0.288,46.83,0
Wed Sep 16 19:40:40 2020,6.21,40.095,20.973,7203.84,96.9519375,0,0.0,0.248,48.52,0
Wed Sep 16 19:40:47 2020,6.207,39.972,22.766,7208.96,96.951261718,0,0.0,0.206,50.47,0
Wed Sep 16 19:40:54 2020,6.204,39.828,23.106,7193.6,96.949992187,0,0.0,0.296,46.75,0
Wed Sep 16 19:41:01 2020,6.208,39.76,22.61,7193.6,96.952476562,0,0.0,0.331,45.27,0
Wed Sep 16 19:41:08 2020,6.207,39.768,22.434,7221.76,96.952394531,0,0.0,0.264,47.79,0
Wed Sep 16 19:41:15 2020,6.206,39.74,23.812,7247.36,96.950886718,0,0.0,0.48,43.7,0
Wed Sep 16 19:41:22 2020,6.211,39.763,22.459,7244.8,96.954480468,0,0.0,0.542,43.14,0
Wed Sep 16 19:41:29 2020,6.208,39.69,21.008,7219.2,96.951878906,0,0.0,0.167,50.19,0
Wed Sep 16 19:41:36 2020,6.207,39.581,21.009,7196.16,96.953257812,0,0.0,0.326,45.85,0
Wed Sep 16 19:41:43 2020,6.209,39.73,20.761,7183.36,96.952359375,0,0.0,0.167,51.14,0
Wed Sep 16 19:41:50 2020,6.207,39.944,21.08,7180.8,96.953574218,0,0.0,0.337,44.84,0
Wed Sep 16 19:41:57 2020,6.208,40.057,21.13,7178.24,96.946214843,0,0.0,0.62,43.2,0
Wed Sep 16 19:42:04 2020,6.209,40.07,19.404,7170.56,96.950898437,0,0.0,0.782,43.07,0
Wed Sep 16 19:42:11 2020,6.207,40.012,21.215,7211.52,96.950777343,0,0.0,0.547,43.36,0
Wed Sep 16 19:42:18 2020,6.208,40.075,20.39,7226.88,96.951453125,0,0.0,0.568,43.23,0
Wed Sep 16 19:42:25 2020,6.209,40.057,20.971,7262.72,96.950992187,0,0.0,0.714,42.56,0
Wed Sep 16 19:42:32 2020,6.207,40.025,20.973,7255.04,96.951648437,0,0.0,0.546,41.55,0
Wed Sep 16 19:42:39 2020,6.207,40.098,20.468,7208.96,96.948445312,0,0.0,0.575,42.76,0
Wed Sep 16 19:42:46 2020,6.21,40.025,20.243,7232.0,96.950003906,0,0.0,0.421,42.8,0
Wed Sep 16 19:42:53 2020,6.21,40.057,21.405,7193.6,96.949097656,0,0.0,0.328,45.04,0
Wed Sep 16 19:43:00 2020,6.205,40.13,19.895,7183.36,96.948503906,0,0.0,0.287,46.08,0
Wed Sep 16 19:43:07 2020,6.21,40.203,21.011,7198.72,96.947636718,0,0.0,0.168,50.33,0
