EarthPod Sensor Log
Created: Wed Jun 24 01:17:26 2020

Measurement Time,Time Step (s),Temperature (C),Humidity (%),Light (lux),Pressure (kPa),Wind (m/s)
Wed Jun 24 01:37:13 2020,6.92,31.278,36.766,17889.28,95.824359375,0.0
Wed Jun 24 01:37:20 2020,6.92,31.351,38.168,17894.4,95.821457031,0.0
Wed Jun 24 01:37:26 2020,6.92,31.288,34.898,18339.84,95.823203125,0.0
Wed Jun 24 01:37:33 2020,6.92,31.321,36.105,18360.32,95.821238281,0.0
Wed Jun 24 01:37:40 2020,6.92,31.374,36.958,18416.64,95.823046875,0.0
Wed Jun 24 01:37:47 2020,6.92,31.371,37.808,18058.24,95.821601562,0.0
Wed Jun 24 01:37:54 2020,6.92,31.298,36.878,18370.56,95.823542968,0.0
Wed Jun 24 01:38:01 2020,6.92,31.356,36.66,18252.8,95.817535156,0.0
Wed Jun 24 01:38:08 2020,6.92,31.394,37.269,17950.72,95.821742187,0.0
Wed Jun 24 01:38:15 2020,6.92,31.346,36.746,18078.72,95.813578125,0.0
Wed Jun 24 01:38:22 2020,6.919,31.384,35.551,18268.16,95.816566406,0.0
Wed Jun 24 01:38:29 2020,6.92,31.376,35.449,17996.8,95.81621875,0.0
Wed Jun 24 01:38:36 2020,6.92,31.389,37.498,18462.72,95.81953125,0.0
Wed Jun 24 01:38:43 2020,6.92,31.412,36.669,18483.2,95.817132812,0.0
Wed Jun 24 01:38:49 2020,6.92,31.454,34.126,18416.64,95.816195312,0.0
Wed Jun 24 01:38:56 2020,6.92,31.442,35.098,18472.96,95.81675,0.0
Wed Jun 24 01:39:03 2020,6.92,31.464,31.773,18467.84,95.81803125,0.0
Wed Jun 24 01:39:10 2020,6.92,31.548,30.34,18452.48,95.817429687,0.0
Wed Jun 24 01:39:17 2020,6.92,31.736,30.83,18457.6,95.815632812,0.0
Wed Jun 24 01:39:24 2020,6.92,31.794,30.905,18350.08,95.813203125,0.0
Wed Jun 24 01:39:31 2020,6.92,31.807,30.183,18508.8,95.813980468,0.0
Wed Jun 24 01:39:38 2020,6.92,31.905,29.357,18432.0,95.814828125,0.0
Wed Jun 24 01:39:45 2020,6.92,31.913,29.481,18304.0,95.816023437,0.0
Wed Jun 24 01:39:52 2020,6.92,32.026,28.848,18432.0,95.814164062,0.0
Wed Jun 24 01:39:59 2020,6.92,32.109,29.991,18421.76,95.818210937,0.0
Wed Jun 24 01:40:06 2020,6.92,32.021,29.989,18462.72,95.820597656,0.0
Wed Jun 24 01:40:13 2020,6.92,32.094,30.445,17991.68,95.819632812,0.0
Wed Jun 24 01:40:19 2020,6.919,32.086,31.039,17228.8,95.816558593,0.0
Wed Jun 24 01:40:26 2020,6.92,32.038,31.221,16839.68,95.814972656,0.0
Wed Jun 24 01:40:33 2020,6.92,31.96,31.759,17536.0,95.817117187,0.0
Wed Jun 24 01:40:40 2020,6.92,31.958,32.408,18094.08,95.814222656,0.0
Wed Jun 24 01:40:47 2020,6.92,31.865,31.533,17873.92,95.817035156,0.0
Wed Jun 24 01:40:54 2020,6.929,31.877,31.883,16465.92,95.817601562,0.0
Wed Jun 24 01:41:01 2020,6.92,31.774,31.881,16906.24,95.819761718,0.0
Wed Jun 24 01:41:08 2020,6.92,31.812,34.913,17239.04,95.816835937,0.0
Wed Jun 24 01:41:15 2020,6.92,31.759,36.459,16025.6,95.811976562,0.0
Wed Jun 24 01:41:22 2020,6.92,31.61,34.449,16112.64,95.819222656,0.0
Wed Jun 24 01:41:29 2020,6.931,31.563,35.26,16174.08,95.817359375,0.0
Wed Jun 24 01:41:36 2020,6.929,31.474,36.088,16363.52,95.817046875,0.0
Wed Jun 24 01:41:43 2020,6.92,31.452,36.682,16368.64,95.816164062,0.0
Wed Jun 24 01:41:49 2020,6.92,31.449,37.153,17080.32,95.81759375,0.0
Wed Jun 24 01:41:56 2020,6.92,31.432,34.835,16363.52,95.813738281,0.0
Wed Jun 24 01:42:03 2020,6.92,31.419,35.102,16363.52,95.818121093,0.0
Wed Jun 24 01:42:10 2020,6.92,31.427,35.205,15959.04,95.820167968,0.0
Wed Jun 24 01:42:17 2020,6.92,31.424,36.833,15825.92,95.820976562,0.0
Wed Jun 24 01:42:24 2020,6.92,31.427,38.134,15682.56,95.818703125,0.0
Wed Jun 24 01:42:31 2020,6.921,31.389,36.561,15887.36,95.820847656,0.0
Wed Jun 24 01:42:38 2020,6.919,31.205,36.999,15723.52,95.821691406,0.0
Wed Jun 24 01:42:45 2020,6.921,31.213,38.642,16204.8,95.825101562,0.0
Wed Jun 24 01:42:52 2020,6.92,31.18,38.684,16235.52,95.825964843,0.0
Wed Jun 24 01:42:59 2020,6.922,31.223,40.177,16076.8,95.827121093,0.0
Wed Jun 24 01:43:06 2020,6.92,31.225,41.122,16384.0,95.827054687,0.0
